,Global Confirmed,Global Deaths,China Confirmed,China Suspected,China Severe,China Deaths,Outside Confirmed,Outside Countries,Outside Deaths,Canada Confirmed,Canada Death
1,282,,278,,China Severe,,4,3,,,
2,314,,309,,China Severe,,4,3,,,
3,581,,571,,China Severe,,10,4,,,
4,846,,830,,China Severe,,16,6,,,
5,1320,,1297,,China Severe,,23,9,,,
6,2014,,1985,,China Severe,,29,10,,,
7,2798,,2741,5794,China Severe,80,37,11,,,
8,4593,,4537,6973,China Severe,106,56,14,,,
9,6065,,5997,9239,China Severe,132,68,15,,,
10,7818,,7736,12167,China Severe,170,82,18,,,
11,9826,,9720,15238,China Severe,213,106,19,,,
12,11953,,11821,,China Severe,259,132,23,,,
13,14557,,14411,,China Severe,304,146,23,1,,
14,17391,,17238,,China Severe,361,153,23,1,4,0
15,,,,,China Severe,,,,,,
16,,,,,China Severe,,,,,,
17,,,,,China Severe,,,,,,
18,,,,,China Severe,,,,,,
19,,,,,China Severe,,,,,,
20,,,,,China Severe,,,,,,
21,,,,,China Severe,,,,,,
22,,,,,China Severe,,,,,,
23,,,,,China Severe,,,,,,
24,,,,,China Severe,,,,,,
25,,,,,China Severe,,,,,,
26,,,,,China Severe,,,,,,
27,,,,,China Severe,,,,,,
28,,,,,China Severe,,,,,,
29,,,,,China Severe,,,,,,
30,,,,,China Severe,,,,,,
31,,,,,China Severe,,,,,,
32,,,,,China Severe,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,153517,,,,,,,,,,
56,167515,6606,81077,,,3218,86438,,3388,304,1
57,179111,7426,81116,,,3231,,,,424,1
58,,,,,,,,,,,
